region,site,type,length,width
South,WS,Filament,490,0.550333333
South,WS,Filament,544,0.299666667
South,WS,Filament,1059,0.511333333
South,WS,Filament,2378,0.527333333
South,WS,Filament,673,0.496333333
South,PW,Filament,1116,0.490333333
South,PW,Filament,1023,0.514
South,PW,Filament,132,0.962
South,PW,Filament,894,0.533666667
South,PW,Filament,244,0.319333333
South,PW,Filament,53,0.405666667
South,PW,Filament,79,0.526333333
South,PW,Filament,67,0.699
South,PW,Filament,39,0.279
South,PW,Filament,39,0.536333333
South,PW,Filament,148,0.106333333
South,PW,Filament,41,0.235666667
South,PW,Filament,29,0.182666667
South,PW,Filament,31,0.181
South,PW,Filament,15,0.165666667
South,PW,Filament,33,0.442666667
